id,elapsed,event_incident_typefk,match_id,player1,subtype,team
464084,39,329,1743,23022,cross,8667
464185,42,329,1743,30631,cross,8455
464287,45,329,1743,30686,cross,8455
464585,49,330,1743,30631,short,8455
464754,60,329,1743,30631,cross,8455
464822,64,329,1743,23022,cross,8667
465408,90,327,1743,,cross,8667
463455,8,329,1744,35467,cross,10194
463546,14,329,1744,22994,cross,10194
463861,30,329,1744,24411,cross,8472
464031,37,329,1744,22994,cross,10194
464228,44,329,1744,30352,cross,8472
464295,45,329,1744,22994,cross,10194
464702,55,329,1744,24411,cross,8472
464903,65,329,1744,22994,cross,10194
463547,2,329,1745,30618,cross,8650
463619,6,329,1745,30618,cross,8650
463740,11,329,1745,34222,cross,8650
464507,45,330,1745,34601,short,8650
465027,59,329,1745,30618,cross,8650
465362,74,329,1745,34222,cross,8650
465372,75,329,1745,34222,cross,8650
465562,84,329,1745,38820,cross,8462
463446,6,329,1746,23354,cross,10252
463538,13,329,1746,30842,cross,8655
463696,21,329,1746,49840,cross,8655
463955,33,329,1746,49840,cross,8655
464226,44,329,1746,23782,cross,10252
464795,61,329,1746,49840,cross,8655
464925,66,329,1746,49840,cross,8655
464955,68,329,1746,23354,cross,10252
465087,74,330,1746,23782,short,10252
462673,1,329,1747,34574,cross,10261
462679,3,329,1747,34574,cross,10261
462681,3,329,1747,24205,cross,10261
462747,22,329,1747,23257,cross,8659
462773,26,329,1747,24664,cross,8659
462812,33,329,1747,34574,cross,10261
462828,36,329,1747,24664,cross,8659
462963,52,329,1747,34574,cross,10261
462969,53,330,1747,23257,short,8659
462981,58,329,1747,24664,cross,8659
463009,70,329,1747,24664,cross,8659
463020,73,329,1747,24664,cross,8659
463039,81,329,1747,24664,cross,8659
463059,88,329,1747,34574,cross,10261
463062,89,330,1747,34574,short,10261
463608,15,329,1748,35327,cross,8528
463819,25,330,1748,24737,short,9879
464274,44,329,1748,38816,cross,8528
465333,83,329,1748,24843,cross,9879
467061,15,330,1749,34944,short,10260
467369,37,330,1749,34944,short,10260
467490,43,329,1749,40945,cross,10260
467848,57,330,1749,30893,short,10260
467851,57,329,1749,30829,cross,10260
467931,62,329,1749,23022,cross,8667
468189,78,329,1749,24154,cross,10260
468198,79,329,1749,24154,cross,10260
468208,79,329,1749,24154,cross,10260
468232,81,330,1749,24154,short,10260
468562,4,329,1750,30618,cross,8650
468576,6,329,1750,30618,cross,8650
468578,6,329,1750,30618,cross,8650
468725,40,329,1750,23760,cross,8586
468838,51,329,1750,23760,cross,8586
468882,60,329,1750,23760,cross,8586
469042,90,329,1750,30618,cross,8650
466428,19,329,1751,24011,cross,8668
466466,30,329,1751,24011,cross,8668
466472,30,330,1751,24011,short,8668
466473,31,329,1751,24011,cross,8668
466500,36,329,1751,24843,cross,9879
466586,51,329,1751,24011,cross,8668
466597,57,329,1751,24020,cross,9879
466609,61,329,1751,24020,cross,9879
466661,71,329,1751,24011,cross,8668
466693,78,329,1751,24843,cross,9879
466717,83,329,1751,24843,cross,9879
466886,3,329,1752,30892,cross,8549
467312,34,329,1752,33781,cross,8654
467527,45,329,1752,30892,cross,8549
467636,48,329,1752,33781,cross,8654
467757,54,329,1752,33781,cross,8654
468123,76,329,1752,30892,cross,8549
468302,88,329,1752,30892,cross,8549
468315,89,329,1752,33781,cross,8654
472928,8,329,1753,34574,cross,10261
472934,10,329,1753,23782,cross,10252
472994,36,329,1753,23354,cross,10252
473029,47,329,1753,23354,cross,10252
473049,53,329,1753,38807,cross,10252
473055,55,329,1753,23782,cross,10252
473086,70,329,1753,34574,cross,10261
473141,90,329,1753,23782,cross,10252
470949,25,329,1754,24372,cross,8559
470953,26,329,1754,35532,cross,8559
471011,30,329,1754,33974,cross,8456
471229,45,329,1754,23784,cross,8559
471533,62,329,1754,24372,cross,8559
471575,66,330,1754,23784,short,8559
471863,74,329,1754,23784,cross,8559
467504,45,329,1755,24664,cross,8659
467531,45,330,1755,30842,short,8655
467652,47,329,1755,38433,cross,8659
467829,57,329,1755,30842,cross,8655
468408,90,329,1755,23916,cross,8655
466974,9,329,1756,24663,cross,8528
467090,17,329,1756,23988,cross,8462
467130,19,329,1756,23988,cross,8462
467237,28,329,1756,24663,cross,8528
467245,29,329,1756,24663,cross,8528
467368,37,329,1756,24663,cross,8528
467401,39,329,1756,23988,cross,8462
467509,45,329,1756,24663,cross,8528
467814,53,329,1756,24663,cross,8528
468077,69,329,1756,23988,cross,8462
468219,77,329,1756,23988,cross,8462
468277,82,329,1756,23988,cross,8462
468439,58,329,1756,38820,cross,8462
466941,6,329,1757,30613,cross,9825
467168,23,329,1757,30613,cross,9825
467367,37,329,1757,25668,cross,10194
467459,42,329,1757,25668,cross,10194
467663,47,329,1757,30613,cross,9825
467905,60,329,1757,30613,cross,9825
468009,67,329,1757,25668,cross,10194
468261,83,329,1757,31013,cross,9825
468419,90,330,1757,30613,short,9825
466882,2,329,1758,30686,cross,8455
467196,25,329,1758,30631,cross,8455
467208,25,329,1758,30679,cross,8455
467263,29,329,1758,30631,cross,8455
477596,12,329,1759,40961,cross,10260
477680,28,330,1759,40961,short,10260
477691,29,329,1759,26181,cross,9825
477736,39,329,1759,30613,cross,9825
477785,46,330,1759,30613,short,9825
477789,47,329,1759,30613,cross,9825
477811,52,329,1759,30829,cross,10260
477823,53,329,1759,30613,cross,9825
477895,66,329,1759,30829,cross,10260
477985,85,329,1759,24154,cross,10260
478012,89,329,1759,24154,cross,10260
479371,15,329,1760,34222,cross,8650
479377,16,330,1760,38433,short,8659
479423,27,329,1760,24664,cross,8659
479428,30,329,1760,30618,cross,8650
479465,39,329,1760,34222,cross,8650
479482,43,329,1760,38433,cross,8659
479630,63,329,1760,38433,cross,8659
479633,63,329,1760,38433,cross,8659
479700,84,329,1760,23257,cross,8659
479715,90,329,1760,23257,cross,8659
478146,3,329,1761,17866,cross,8472
478241,12,329,1761,23988,cross,8462
478279,17,329,1761,17866,cross,8472
478294,18,329,1761,17866,cross,8472
478310,19,329,1761,40987,cross,8462
478348,24,329,1761,17866,cross,8472
478391,29,329,1761,17866,cross,8472
478445,35,329,1761,23988,cross,8462
478885,70,329,1761,17866,cross,8472
478921,73,329,1761,17866,cross,8472
479074,88,329,1761,24408,cross,8472
478181,3,330,1762,33781,short,8654
478184,4,329,1762,33781,cross,8654
478193,4,329,1762,33781,cross,8654
478365,24,329,1762,33781,cross,8654
478436,32,329,1762,33781,cross,8654
478484,37,329,1762,33781,cross,8654
478810,56,329,1762,24011,cross,8668
479000,77,329,1762,24011,cross,8668
479003,77,329,1762,24011,cross,8668
479015,78,330,1762,24773,short,8654
479020,78,329,1762,24773,cross,8654
479066,82,329,1762,24011,cross,8668
479113,89,329,1762,118390,cross,8654
481062,4,329,1763,30892,cross,8549
481066,4,329,1763,30892,cross,8549
481444,28,329,1763,23782,cross,10252
481878,50,329,1763,23354,cross,10252
481891,51,330,1763,23782,short,10252
481897,51,329,1763,23354,cross,10252
482342,77,329,1763,23354,cross,10252
482363,78,329,1763,33128,cross,8549
482405,79,329,1763,38807,cross,10252
482565,88,329,1763,23354,cross,10252
482602,90,329,1763,38807,cross,10252
482649,90,330,1763,30892,short,8549
481384,22,329,1764,23760,cross,8586
481474,28,329,1764,23760,cross,8586
481943,51,330,1764,23760,short,8586
481950,52,329,1764,23760,cross,8586
482005,54,330,1764,33963,short,8456
482375,75,329,1764,33963,cross,8456
482392,76,329,1764,33963,cross,8456
482423,77,329,1764,33963,cross,8456
480458,6,329,1765,30631,cross,8455
480476,9,329,1765,49840,cross,8655
480503,13,329,1765,30631,cross,8455
480507,13,330,1765,30631,short,8455
480537,17,329,1765,49840,cross,8655
480557,20,329,1765,30631,cross,8455
480563,21,329,1765,30631,cross,8455
480570,22,329,1765,23916,cross,8655
480592,27,329,1765,23916,cross,8655
480629,33,329,1765,30679,cross,8455
480687,38,329,1765,30631,cross,8455
480693,39,329,1765,30631,cross,8455
481079,74,329,1765,23916,cross,8655
481206,82,329,1765,30686,cross,8455
481917,8,329,1766,24020,cross,9879
481922,9,329,1766,24843,cross,9879
482083,18,329,1766,24020,cross,9879
482092,18,329,1766,24843,cross,9879
482156,21,329,1766,24020,cross,9879
482856,59,329,1766,34574,cross,10261
483175,86,329,1766,24843,cross,9879
478296,15,330,1767,24372,short,8559
478314,17,329,1767,24372,cross,8559
478337,20,330,1767,24372,short,8559
478379,25,329,1767,23022,cross,8667
478420,30,329,1767,23022,cross,8667
478467,35,329,1767,23022,cross,8667
478700,50,329,1767,23784,cross,8559
478755,55,329,1767,24372,cross,8559
478961,75,329,1767,34437,cross,8667
478975,76,329,1767,24372,cross,8559
478977,77,329,1767,24372,cross,8559
478994,78,329,1767,34437,cross,8667
479084,87,329,1767,34437,cross,8667
477880,62,329,1768,24663,cross,8528
477906,66,329,1768,24663,cross,8528
477955,78,329,1768,24663,cross,8528
477966,80,329,1768,40574,cross,10194
477974,81,329,1768,40574,cross,10194
478028,90,329,1768,24663,cross,8528
478037,90,329,1768,24663,cross,8528
478049,90,329,1768,23253,cross,10194
486930,7,330,1769,38817,short,10260
487939,60,330,1769,38817,short,10260
487989,62,329,1769,38817,cross,10260
486921,7,329,1770,23782,cross,10252
486970,10,330,1770,31013,short,9825
487192,23,329,1770,30613,cross,9825
487351,31,329,1770,30613,cross,9825
487502,42,329,1770,23354,cross,10252
487765,53,329,1770,23782,cross,10252
488131,72,329,1770,30613,cross,9825
488330,85,329,1770,30613,cross,9825
488378,88,329,1770,30613,cross,9825
488400,89,329,1770,30613,cross,9825
488429,90,329,1770,30613,cross,9825
488467,90,330,1770,23354,short,10252
486901,5,329,1771,33781,cross,8654
487231,24,329,1771,40987,cross,8462
487273,27,329,1771,24653,cross,8462
487385,33,329,1771,40987,cross,8462
487397,34,329,1771,40987,cross,8462
487561,45,329,1771,33781,cross,8654
487614,45,330,1771,24653,short,8462
487724,48,330,1771,24653,short,8462
487855,55,329,1771,33781,cross,8654
487864,55,329,1771,24223,cross,8654
488059,66,329,1771,33781,cross,8654
488160,72,329,1771,24773,cross,8654
488349,83,329,1771,24773,cross,8654
488366,84,329,1771,24653,cross,8462
488373,85,329,1771,24773,cross,8654
488464,90,329,1771,24653,cross,8462
489900,7,329,1772,24011,cross,8668
489985,23,329,1772,24011,cross,8668
489999,27,329,1772,24011,cross,8668
490016,29,329,1772,33128,cross,8549
490051,33,329,1772,24011,cross,8668
490070,34,330,1772,24011,short,8668
490082,35,329,1772,24011,cross,8668
490193,44,329,1772,24011,cross,8668
490480,48,329,1772,24011,cross,8668
490561,54,329,1772,24011,cross,8668
490576,56,329,1772,24011,cross,8668
487146,19,329,1773,24890,cross,8528
487150,20,329,1773,24890,cross,8528
487158,20,329,1773,24890,cross,8528
487371,33,329,1773,24890,cross,8528
487728,47,329,1773,24890,cross,8528
487742,47,329,1773,24890,cross,8528
487791,50,329,1773,24890,cross,8528
487836,53,329,1773,24890,cross,8528
487887,56,329,1773,34574,cross,10261
487911,57,329,1773,24890,cross,8528
487995,61,330,1773,34574,short,10261
488227,75,329,1773,34574,cross,10261
488461,89,329,1773,37684,cross,8528
488476,90,329,1773,29581,cross,10261
486811,1,329,1774,30352,cross,8472
486904,7,329,1774,23916,cross,8655
486918,8,329,1774,23916,cross,8655
487000,12,329,1774,23916,cross,8655
487005,12,329,1774,23916,cross,8655
487018,13,329,1774,23916,cross,8655
487195,24,329,1774,23916,cross,8655
487436,38,329,1774,23916,cross,8655
487547,45,329,1774,30352,cross,8472
487568,45,329,1774,23916,cross,8655
487730,48,329,1774,30352,cross,8472
487740,49,329,1774,30352,cross,8472
487775,51,329,1774,23916,cross,8655
487874,56,329,1774,30352,cross,8472
487910,58,329,1774,30352,cross,8472
488216,76,329,1774,30352,cross,8472
488301,81,329,1774,30352,cross,8472
488417,88,329,1774,23170,cross,8655
488426,88,329,1774,23170,cross,8655
486969,10,329,1775,23760,cross,8586
487043,14,329,1775,24781,cross,9879
487175,22,329,1775,24781,cross,9879
487526,43,329,1775,24843,cross,9879
487533,44,329,1775,24843,cross,9879
487588,45,329,1775,24843,cross,9879
487981,64,329,1775,23760,cross,8586
488016,66,329,1775,23760,cross,8586
488090,70,329,1775,24781,cross,9879
488139,73,330,1775,24781,short,9879
488209,77,329,1775,24781,cross,9879
488374,87,330,1775,24843,short,9879
488456,90,330,1775,24737,short,9879
486503,18,330,1776,30618,short,8650
486521,24,329,1776,34222,cross,8650
486559,45,329,1776,23784,cross,8559
486567,47,329,1776,24372,cross,8559
486632,65,329,1776,24372,cross,8559
486641,67,329,1776,23784,cross,8559
486724,83,329,1776,24372,cross,8559
486750,88,329,1776,23937,cross,8559
486771,90,329,1776,23937,cross,8559
486776,90,329,1776,34222,cross,8650
488625,13,329,1777,30631,cross,8455
488684,29,329,1777,30679,cross,8455
488686,29,329,1777,30631,cross,8455
488734,55,329,1777,30631,cross,8455
488739,56,329,1777,30686,cross,8455
488749,61,329,1777,30631,cross,8455
488775,72,329,1777,30686,cross,8455
488793,77,329,1777,38433,cross,8659
488798,78,329,1777,30686,cross,8455
488824,82,329,1777,26553,cross,8659
488872,90,330,1777,30686,short,8455
488882,90,329,1777,38433,cross,8659
488894,90,330,1777,30679,short,8455
491609,33,329,1778,34437,cross,8667
491916,47,330,1778,30367,short,8456
491923,47,329,1778,30367,cross,8456
492088,63,329,1778,33963,cross,8456
492141,67,329,1778,34437,cross,8667
492378,85,329,1778,34437,cross,8667
492410,89,329,1778,33963,cross,8456
492443,90,329,1778,33963,cross,8456
492452,90,329,1778,33963,cross,8456
495452,27,329,1779,24843,cross,9879
495501,30,329,1779,34222,cross,8650
495591,35,329,1779,24843,cross,9879
495595,35,329,1779,24843,cross,9879
496012,52,329,1779,34222,cross,8650
496024,52,329,1779,34222,cross,8650
496154,59,329,1779,34222,cross,8650
496378,70,329,1779,34222,cross,8650
496449,74,329,1779,34222,cross,8650
496496,77,329,1779,34222,cross,8650
496597,84,329,1779,34222,cross,8650
496703,89,329,1779,34222,cross,8650
499871,16,329,1780,33781,cross,8654
500054,33,330,1780,38802,short,8472
500150,41,329,1780,38802,cross,8472
500617,75,329,1780,30954,cross,8472
500743,85,329,1780,30954,cross,8472
500748,85,329,1780,33781,cross,8654
498710,6,329,1781,23889,cross,8655
498716,7,329,1781,23916,cross,8655
498722,7,329,1781,23916,cross,8655
498800,19,329,1781,23916,cross,8655
498802,20,329,1781,30842,cross,8655
498932,41,329,1781,23760,cross,8586
499164,50,329,1781,23916,cross,8655
499196,54,329,1781,23760,cross,8586
499234,57,330,1781,23760,short,8586
499268,61,330,1781,23760,short,8586
499368,78,329,1781,23760,cross,8586
499422,85,330,1781,23760,short,8586
497091,12,330,1782,23782,short,10252
497106,15,329,1782,24154,cross,10260
497434,50,329,1782,23354,cross,10252
497440,50,329,1782,23354,cross,10252
497499,57,329,1782,24154,cross,10260
497574,67,329,1782,24154,cross,10260
497589,72,329,1782,24154,cross,10260
497629,78,329,1782,24154,cross,10260
497715,90,329,1782,40945,cross,10260
495370,23,329,1783,24393,cross,8549
495377,24,329,1783,30892,cross,8549
495937,49,329,1783,30892,cross,8549
496076,57,329,1783,33128,cross,8549
496312,68,329,1783,33128,cross,8549
496473,77,329,1783,30892,cross,8549
496480,77,329,1783,30892,cross,8549
496697,90,329,1783,30892,cross,8549
495683,40,330,1784,30843,short,9825
495964,48,329,1784,30843,cross,9825
496212,62,329,1784,30843,cross,9825
496252,63,329,1784,33963,cross,8456
496454,74,329,1784,40198,cross,8456
496541,80,329,1784,40198,cross,8456
495096,6,329,1785,24653,cross,8462
495209,12,329,1785,24653,cross,8462
495375,23,329,1785,34437,cross,8667
495431,26,329,1785,34437,cross,8667
495724,42,330,1785,24653,short,8462
495817,45,329,1785,34437,cross,8667
496025,51,329,1785,24653,cross,8462
496061,54,329,1785,34437,cross,8667
496113,56,330,1785,39073,short,8667
496213,62,329,1785,34437,cross,8667
496238,63,329,1785,24653,cross,8462
496453,74,329,1785,63520,cross,8462
496489,76,329,1785,63520,cross,8462
496673,87,329,1785,23938,cross,8667
495208,12,329,1786,22994,cross,10194
495233,14,329,1786,22994,cross,10194
495556,33,329,1786,22994,cross,10194
495682,40,329,1786,22994,cross,10194
501970,3,329,1787,24011,cross,8668
501973,4,329,1787,24011,cross,8668
501983,8,329,1787,24011,cross,8668
502093,45,329,1787,24890,cross,8528
502095,45,329,1787,24890,cross,8528
502123,55,329,1787,24890,cross,8528
495140,7,329,1788,30631,cross,8455
495320,19,330,1788,30686,short,8455
495400,23,329,1788,30686,cross,8455
495600,34,329,1788,30631,cross,8455
495741,41,329,1788,34574,cross,10261
496272,63,329,1788,30679,cross,8455
496300,65,329,1788,30679,cross,8455
496660,86,329,1788,30631,cross,8455
496763,90,329,1788,30631,cross,8455
513139,16,329,1789,30618,cross,8650
513149,21,329,1789,30618,cross,8650
513153,21,329,1789,30618,cross,8650
513156,22,329,1789,30618,cross,8650
513172,28,330,1789,30618,short,8650
513190,35,329,1789,30618,cross,8650
513211,42,329,1789,39647,cross,8650
513213,43,329,1789,30889,cross,8650
513219,44,329,1789,30618,cross,8650
513254,57,329,1789,30889,cross,8650
513285,67,329,1789,33781,cross,8654
513292,70,329,1789,36394,cross,8654
513294,70,329,1789,36394,cross,8654
513298,71,329,1789,30618,cross,8650
513310,78,329,1789,30618,cross,8650
513313,81,329,1789,30618,cross,8650
513318,83,329,1789,33781,cross,8654
513320,84,329,1789,36394,cross,8654
513322,85,329,1789,30618,cross,8650
513330,87,329,1789,30889,cross,8650
513341,90,329,1789,30915,cross,8650
513347,90,329,1789,30915,cross,8650
506888,2,329,1790,23784,cross,8559
506890,3,329,1790,23784,cross,8559
506999,10,329,1790,23784,cross,8559
507196,25,329,1790,38802,cross,8472
507219,27,329,1790,38802,cross,8472
507681,51,329,1790,23784,cross,8559
507687,52,329,1790,23937,cross,8559
507843,61,329,1790,23937,cross,8559
507982,71,329,1790,38812,cross,8472
508112,79,329,1790,38812,cross,8472
508220,87,329,1790,38812,cross,8472
510347,31,329,1791,23760,cross,8586
510425,38,329,1791,23760,cross,8586
510449,40,329,1791,24011,cross,8668
511035,73,329,1791,23760,cross,8586
511161,81,329,1791,31921,cross,8586
511423,90,329,1791,23760,cross,8586
506898,4,329,1792,23354,cross,10252
507189,26,329,1792,23354,cross,10252
507193,26,329,1792,23782,cross,10252
507321,35,329,1792,24781,cross,9879
507413,41,329,1792,24843,cross,9879
507419,42,329,1792,24781,cross,9879
507619,51,329,1792,23354,cross,10252
507632,52,329,1792,38609,cross,10252
507766,60,329,1792,23354,cross,10252
507779,60,329,1792,23354,cross,10252
507786,61,329,1792,23782,cross,10252
507800,61,329,1792,23782,cross,10252
508018,76,329,1792,24781,cross,9879
508068,79,329,1792,23354,cross,10252
508219,90,329,1792,23782,cross,10252
506972,9,329,1793,33128,cross,8549
507047,14,329,1793,30892,cross,8549
507716,55,329,1793,33128,cross,8549
507815,61,329,1793,30892,cross,8549
507833,62,330,1793,29581,short,10261
507976,71,329,1793,40565,cross,10261
507984,72,329,1793,30892,cross,8549
508039,75,329,1793,33128,cross,8549
508086,79,329,1793,30892,cross,8549
509549,13,329,1794,30829,cross,10260
509558,14,329,1794,30829,cross,10260
509585,23,329,1794,30829,cross,10260
509663,36,329,1794,30829,cross,10260
509852,49,329,1794,33963,cross,8456
509859,50,330,1794,30893,short,10260
509896,55,329,1794,30829,cross,10260
509950,68,329,1794,30829,cross,10260
509975,72,329,1794,33963,cross,8456
510254,90,329,1794,33963,cross,8456
510270,90,330,1794,30829,short,10260
510029,6,329,1795,30842,cross,8655
510053,8,329,1795,23285,cross,8462
510079,10,329,1795,23285,cross,8462
510232,21,329,1795,23916,cross,8655
510325,28,329,1795,23916,cross,8655
510371,33,329,1795,30842,cross,8655
510538,45,329,1795,30842,cross,8655
510663,48,329,1795,38820,cross,8462
510774,55,329,1795,38820,cross,8462
510786,56,329,1795,38820,cross,8462
510797,56,329,1795,38820,cross,8462
510816,58,329,1795,23916,cross,8655
510909,63,329,1795,23916,cross,8655
510932,64,329,1795,38820,cross,8462
510939,65,329,1795,30842,cross,8655
510964,67,329,1795,30842,cross,8655
511072,74,330,1795,38820,short,8462
511361,90,329,1795,49840,cross,8655
506959,7,329,1796,22994,cross,10194
507081,16,329,1796,34437,cross,8667
507129,20,330,1796,22994,short,10194
507261,30,329,1796,22994,cross,10194
507399,39,329,1796,22994,cross,10194
