379481,78,73,1729,24157,serious_fouls,10260,card
379503,82,73,1729,30362,serious_fouls,10260,card
379547,90,70,1729,30829,,10260,card
377978,56,73,1731,37442,serious_fouls,8650,card
378060,90,25,1731,46621,stall_time,8650,card
376643,39,73,1732,24223,serious_fouls,8654,card
376951,49,77,1732,37277,shirt_pull,8654,card
377290,68,70,1732,97988,,8528,card
378719,34,73,1733,23939,serious_fouls,8456,card
376743,45,73,1734,24136,serious_fouls,8655,card
377153,59,73,1734,37764,serious_fouls,8655,card
377390,75,73,1734,24004,serious_fouls,8668,card
377658,90,73,1734,24160,serious_fouls,8668,card
377167,61,73,1735,30818,serious_fouls,8586,card
377410,76,73,1735,23760,serious_fouls,8586,card
377638,90,73,1735,33128,serious_fouls,8549,card
377199,62,73,1736,26454,serious_fouls,8559,card
377231,64,73,1736,23333,serious_fouls,10194,card
377656,90,73,1736,24435,serious_fouls,10194,card
376480,29,77,1737,34430,shirt_pull,8667,card
376737,44,73,1737,23022,serious_fouls,8667,card
377613,90,73,1737,23034,serious_fouls,8667,card
378320,45,79,1738,36286,verbal_abuse,8462,card
464128,23,73,1739,32569,serious_fouls,10260,card
465307,65,73,1739,109898,serious_fouls,8654,card
465608,81,73,1739,24751,serious_fouls,8654,card
465001,54,73,1740,40006,serious_fouls,8586,card
465064,57,73,1740,23760,serious_fouls,8586,card
465103,59,73,1740,24656,serious_fouls,8586,card
465612,85,70,1740,30818,,8586,card
465689,90,70,1740,27277,,9825,card
464256,31,73,1741,39027,serious_fouls,8456,card
464500,45,79,1741,24213,verbal_abuse,8456,card
539684,29,73,1833,39618,serious_fouls,8668,card
539846,45,77,1833,35544,shirt_pull,8549,card
540113,65,70,1833,24163,,8549,card
540176,72,163,1833,24159,diving,8549,card
540366,88,325,1833,24161,pushing,8549,card
540387,90,325,1833,24162,pushing,8549,card
539874,45,73,1834,39073,serious_fouls,8667,card
540191,72,70,1834,23034,,8667,card
540219,72,73,1834,26066,serious_fouls,8667,card
540237,75,70,1834,32577,,8667,card
538871,44,73,1835,47418,serious_fouls,8462,card
538906,45,70,1835,37169,,8654,card
539149,65,77,1835,30966,shirt_pull,8654,card
539305,86,73,1835,24223,serious_fouls,8654,card
538554,21,73,1836,23072,serious_fouls,10194,card
538593,26,73,1836,43248,serious_fouls,10260,card
538604,28,73,1836,23369,serious_fouls,10194,card
538742,43,79,1836,38755,verbal_abuse,10194,card
539067,72,177,1836,23369,serious_fouls,10194,card
539200,87,176,1836,30615,violence,10260,card
539203,87,73,1836,23253,serious_fouls,10194,card
539747,34,70,1837,25150,,8528,card
539863,44,79,1837,97988,verbal_abuse,8528,card
540222,72,269,1837,26209,shirt_pull,10261,card
540241,74,70,1837,30360,,10261,card
540245,75,79,1837,34574,verbal_abuse,10261,card
540474,90,163,1837,47382,diving,10261,card
539212,74,176,1838,30699,violence,8455,card
382236,26,73,1839,37442,serious_fouls,8650,card
383316,79,79,1839,24635,verbal_abuse,8650,card
383320,79,25,1839,38491,stall_time,8549,card
382244,26,163,1840,31921,diving,8586,card
382910,59,73,1840,38802,serious_fouls,8472,card
382953,57,70,1840,30352,,8472,card
382262,28,73,1841,23931,serious_fouls,8559,card
382452,39,73,1841,23784,serious_fouls,8559,card
383044,62,129,1841,24228,hands,10261,card
384550,24,73,1842,30966,serious_fouls,8654,card
384613,34,129,1842,37169,hands,8654,card
384633,38,26,1842,37169,,8654,card
382550,44,73,1843,23023,serious_fouls,8667,card
383869,72,73,1844,30338,serious_fouls,9879,card
383913,88,73,1844,31114,serious_fouls,9879,card
382444,38,73,1845,24006,serious_fouls,8668,card
382602,45,73,1845,37280,serious_fouls,8659,card
382607,45,79,1845,31731,verbal_abuse,8659,card
383106,67,73,1845,23257,serious_fouls,8659,card
385642,18,73,1846,25517,serious_fouls,8462,card
385717,45,73,1846,30362,serious_fouls,10260,card
385805,81,70,1846,30348,,8462,card
385833,90,79,1846,24148,verbal_abuse,10260,card
382912,57,73,1847,23288,serious_fouls,10194,card
383972,14,77,1848,30627,shirt_pull,8455,card
384170,49,73,1848,25150,serious_fouls,8528,card
384265,74,73,1848,30911,serious_fouls,8455,card
542962,53,73,1849,30802,serious_fouls,10260,card
543066,89,73,1849,30373,serious_fouls,10260,card
541737,42,73,1850,24373,serious_fouls,8462,card
541444,23,73,1851,34543,serious_fouls,8654,card
541556,31,73,1851,30734,serious_fouls,8654,card
541611,35,73,1851,27665,serious_fouls,8654,card
541777,45,73,1851,23333,serious_fouls,10194,card
541951,53,67,1851,38755,violence,10194,card
542123,65,25,1851,35467,stall_time,10194,card
542232,73,79,1851,40005,verbal_abuse,10194,card
541519,26,73,1852,38802,serious_fouls,8472,card
541948,53,73,1852,36786,serious_fouls,8472,card
542134,67,70,1852,23268,,8668,card
542206,72,70,1852,24655,,8472,card
542231,73,79,1852,24411,verbal_abuse,8472,card
541078,59,73,1853,38818,serious_fouls,8650,card
541103,75,73,1853,24228,serious_fouls,10261,card
541136,90,78,1853,24224,kicked_ball_away,10261,card
542622,33,73,1854,23913,serious_fouls,8655,card
542686,53,73,1854,24213,serious_fouls,8456,card
542785,90,25,1854,23921,stall_time,8655,card
542323,82,129,1855,30822,hands,8455,card
542481,90,79,1855,25925,verbal_abuse,8455,card
542795,90,70,1855,30956,,9879,card
541256,6,73,1856,23933,serious_fouls,8559,card
541424,19,79,1856,24890,verbal_abuse,8528,card
541555,28,73,1856,26454,serious_fouls,8559,card
541579,29,73,1856,97988,serious_fouls,8528,card
542351,80,73,1856,25150,serious_fouls,8528,card
541317,14,73,1857,24531,serious_fouls,8586,card
541506,28,73,1857,24171,serious_fouls,8659,card
541608,35,63,1857,40006,serious_fouls,8586,card
541755,45,73,1857,23257,serious_fouls,8659,card
542051,59,73,1857,31731,serious_fouls,8659,card
542430,88,73,1857,30818,serious_fouls,8586,card
543135,26,73,1858,26066,serious_fouls,8667,card
543190,50,73,1858,23782,serious_fouls,10252,card
543216,60,79,1858,38609,verbal_abuse,10252,card
549534,4,73,1859,30631,serious_fouls,8455,card
549650,27,73,1859,25925,serious_fouls,8455,card
549657,28,70,1859,30893,,10260,card
549658,28,70,1859,30911,,8455,card
549892,66,73,1859,30829,serious_fouls,10260,card
549906,68,70,1859,30802,,10260,card
549981,81,73,1859,30627,serious_fouls,8455,card
550015,87,70,1859,30456,,8455,card
547202,54,73,1860,37996,serious_fouls,8559,card
547393,74,79,1860,23784,verbal_abuse,8559,card
547451,80,73,1860,30986,serious_fouls,9825,card
547573,90,73,1860,75489,serious_fouls,9825,card
